Mathematics,Eight,Texas TEKS,Vocabulary ,Absolute Value,"A number’s distance from zero. For any x; is defined as follows: |x| =  −x; if x < 0; x; if x ≥ 0.",key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Acute Angle,An angle whose measure is greater than 0 and less than 90 degrees.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Acute Triangle,A triangle in which all three angles are acute angles.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Algebraic Expression,An expression that includes one or more variables and may also include symbols indicating an operation or a relationship.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Area Model,A mathematical model based on the area of a rectangle; used to represent multiplication or to represent fractional parts of a whole.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Axis of Symmetry,The vertical line x = − b/(2a) for the parabola given by f(x) = ax² + bx + c or the vertical line x = h when written f(x) = a(x − h)² + k.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Base,For any number x raised to the nth power; written as x^n; x is called the base of the expression.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Base,In geometry any side of a triangle may be called the base.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Cartesian Plane,See: Coordinate Plane,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Coefficient,In the product of a constant and a variable the constant is the numerical coefficient of the variable and is frequently referred to simply as the coefficient.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Common Factor,A factor that appears in two or more terms.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Compound Interest,Interest paid on previous interest which was added to the principal.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Consistent system,See: System of Equations,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Convex Polygon,A plane; closed; figure formed by three or more line segments intersecting only at end points and each interior angle being less than 180 degrees.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Coordinate(s),A number assigned to each point on the number line which shows its position or location on the line. In a coordinate plane the ordered pair; (x; y); assigned to each point of the plane showing its position in relation to the x-axis and y-axis.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Coordinate Plane,A plane that consists of a horizontal and vertical number line; intersecting at right angles at their origins. The number lines; called axes; divide the plane into four quadrants. The quadrants are numbered I; II; III; and IV beginning in the upper right quadrant and moving counterclockwise.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Counterclockwise,"A circular movement opposite to the direction of the movement of the hands of a clock. Counting numbers: The counting numbers are the numbers in the following never-ending sequence: 1; 2; 3; 4; 5; 6; 7; . . . We can also write this as +1;+2;+3;+4;+5;+6;+7; . . .. These numbers are also called the positive integers or natural numbers.",key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Cube,The third power of a number.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Cube Root,For real number x and y; y is the cube root of x; (written √3 x ); if y³ = x.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Data Set,A collection of information; frequently in the form of numbers.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Degree,The degree of a term is the sum of the exponents of the variables. The degree of a polynomial is the highest degree of any of its terms. If it contains no variables its degree is 0 if it is non-zero; and undefined if the polynomial is zero.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Dependent System,See: System of Equations,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Dependent Variable,The variable in a function representing the elements of the range; the output values.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Direct Variation,For real variables x and y; y varies directly with x if y = Kx or yx = K for a constant K; K ≠ 0. K is called the constant of proportionality.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Discriminant,The expression b² −4ac that appears under the radical sign in the Quadratic Formula.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Domain,The set of input values in a function.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Elements,Members of a set.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Equation,A Mathematicssentence using the equal sign to state that two expressions represent the same number.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Equivalent Equations,Two equations are equivalent if they have the same solution or solution set.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Equivalent Inequalities,Two inequalities are equivalent if they have the same solution set.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Equivalent Expression,Expressions that have the same numerical value for given values of the variables.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Exponent,Suppose that n is a whole number. Then; for any number x; the nth power of x; or x to the nth power; is the product of n factors of the number x. This number is usually written x^n. The number x is usually called the base of the expression x^n; and n is called the exponent.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Exponential Function,For numbers a; k and b ≠ 0; the function f(t) = (ab)^ t/k is called an exponential function. The number a = f(0) is the initial value; b is the base and k is a constant related to growth rate or period.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Exponential Growth,For a > 0 and b > 1 the function denotes growth; for a > 0 and 0 < b < 1 the function denotes decay.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Exponential Decay,For a > 0 and b > 1 the function denotes growth; for a > 0 and 0 < b < 1 the function denotes decay.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Exponential Notation,A notation that expresses a number in terms of a base and an exponent.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Extraneous Solutions,Apparent solutions which do not satisfy the given equation; usually introduced by raising to a power or multiplying by the variable in obtaining the solution.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Factor,For integers a; b and c; a and b are factors of c if c = ab. Similarly f(x) and g(x) are factors of p(x) if p(x) = f(x) · g(x).,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Factor,Factor is also used as an instruction or command to express a given integer or polynomial as a product.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Formula,An equation showing the relationship between two or more quantities represented by variables.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Function,A function is a rule which assigns to each member of a set of inputs; called the domain; a member of a set of outputs; called the range.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Function Notation,f(x); read ”f of x”; forming one side of an equation and used to indicate the value of the function when the input is x. Also see Function.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Graph of a Function,The pictorial representation of a function by plotting all of its input-output pairs on a coordinate system.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Height,In a triangle it is the segment from a vertex perpendicular to the selected base. Also used to refer to the length of that segment.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Horizontal Axis,See: Coordinate Plane,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Hypotenuse,The side opposite the right angle in a right triangle.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Inconsistent system,See: System of Equations,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Independent system,See: System of Equations,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Independent Variable,The variable in a function representing the elements of the domain; the input values.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Inequality,A statement that two expressions represent different values. There are various forms.,key_term ,None
Mathematics,Eight,Texas TEKS,Vocabulary ,Strict Inequalities,Statements such as “x is less than y”; (x < y ); and “x is greater than y”; (x > y ).,key_term ,None
